ItemCliente;ItemSmarkets;CodigoPDM;TituloPDM;TextLongoPDM;NCM;Status
ETIQUETA TP - 19 TRANSPARENTE;ETIQUETA TP - 19 TRANSPARENTE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA LACRE; MATERIAL ; DIMENSAO 19MM; COR TRANSPARENTE FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19TR";4821.90.00;TOTAL
ETIQUETA TP - 19 VERDE;ETIQUETA TP - 19 VERDE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR VERDE; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19VD";4821.90.00;TOTAL
ETIQUETA TP - 19 VERDE FLOURESCENTE;ETIQUETA TP - 19 VERDE FLOURESCENTE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR VERDE FLUORESCENTE; FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19FL-V";4821.90.00;TOTAL
ETIQUETA TP - 19 VERMELHA;ETIQUETA TP - 19 VERMELHA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR VERMEHO; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19VM";4821.90.00;TOTAL
EXTRATOR DE GRAMPO ESPAT GALV;EXTRATOR DE GRAMPO ESPAT GALV;EXGRA;EXTRATOR GRAMPO;"EXTRATOR GRAMPO; TIPO ESPATULA; MATERIAL ACO; ACABAMENTO GALVANIZADO";8214.10.00;TOTAL
FICHARIO BRANCO A4;FICHARIO BRANCO A4;ARQUI;ARQUIVO PASTA SUSPENSA/FICHARIO;"ARQUIVO PASTA SUSPENSA; MATERIAL; ACABAMENTO; COR BRANCO; DIMENSAO; TIPO GAVETA; QUANTIDADE GAVETA; PUXADOR; FECHAMENTO; FABRICANTE-REFERENCIA";;PARCIAL
FITA ADESIVA CREPE 19X50;FITA ADESIVA CREPE 19X50;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO CREPE; FACE ADERENCIA UMA FACE; MATERIAL DORSO PAPEL CREPADO; COR BRANCO; MATERIAL ADESIVO BORRACHA NATURAL/RESINA; DIMENSAO 19,00MM X 50,00M";3919.10.90;TOTAL
FITA ADESIVA CREPE 2350 - 50X50;FITA ADESIVA CREPE 2350 - 50X50;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO CREPE; FACE ADERENCIA UMA FACE; MATERIAL DORSO PAPEL CREPADO; COR BRANCO; MATERIAL ADESIVO BORRACHA NATURAL/RESINA; DIMENSAO 50,00MM X 50,00M; FABRICANTE-REFERENCIA 3M-2350";3919.10.90;TOTAL
FITA ADESIVA DUPLA FACE 12X30;FITA ADESIVA DUPLA FACE 12X30;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA DUPLA FACE; MATERIAL DORSO PAPEL; COR BRANCO; DIMENSAO 12,00MM X 30,00M";3919.10.90;TOTAL
FITA ADESIVA DUREX 12X65;FITA ADESIVA DUREX 12X65;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO BI-BIORIENTADA; FACE ADERENCIA UMA FACE; MATERIAL DORSO POLIPROPILENO; COR TRANSPARENTE; MATERIAL ADESIVO ACRILICO; DIMENSAO 12,00MM X 65,00MM";3919.10.90;TOTAL
FITA ADESIVA MAGICA 12 X 33 S/ APAR;FITA ADESIVA MAGICA 12 X 33 S/ APAR;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO MAGICA; FACE ADERENCIA UMA FACE; MATERIAL DORSO POLIPROPILENO BIORIENTADO; COR TRANSPARENTE; MATERIAL ADESIVO ACRILICO BASE D'AGUA; DIMENSAO 12,00 X 33,00M";3919.10.10;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - - CINZ;FITA ADESIVA PLASTICA PVC 12X33 - - CINZ;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR CINZA; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - AMAREL;FITA ADESIVA PLASTICA PVC 12X33 - AMAREL;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR AMARELO; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - AZUL;FITA ADESIVA PLASTICA PVC 12X33 - AZUL;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR AZUL; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - BRANCA;FITA ADESIVA PLASTICA PVC 12X33 - BRANCA;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR BRANCO; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - LARANJ;FITA ADESIVA PLASTICA PVC 12X33 - LARANJ;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR LARANJA; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - ROSA;FITA ADESIVA PLASTICA PVC 12X33 - ROSA;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR ROSA; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - ROXA;FITA ADESIVA PLASTICA PVC 12X33 - ROXA;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR ROXA; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - VERDE;FITA ADESIVA PLASTICA PVC 12X33 - VERDE;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR VERDE; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 - VERMEL;FITA ADESIVA PLASTICA PVC 12X33 - VERMEL;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR VERMELHO; DIMENSAO 12,00MM X 33,00M";3919.10.20;TOTAL
FITA ADESIVA PLASTICA PVC 12X33 -BRANCA;FITA ADESIVA PLASTICA PVC 12X33 -BRANCA;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR BRANCO; DIMENSAO 12,00MM X 33,00M";3919.10.20;DUPLICADO
FITA ADESIVA PLASTICA PVC 12X65 - TRANSP;FITA ADESIVA PLASTICA PVC 12X65 - TRANSP;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR TRANSPARENTE; DIMENSAO 12,00MM X 65,00M";3919.10.20;TOTAL
FITA ADESIVA PLÁSTICA PVC 50X50 - TRANSP;FITA ADESIVA PLÁSTICA PVC 50X50 - TRANSP;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR TRANSPARENTE; DIMENSAO 50,00MM X 50,00M";3919.10.20;TOTAL
FITA DEMARCAÇÃO SOLO 471 50MM X 30M AMAR;FITA DEMARCAÇÃO SOLO 471 50MM X 30M AMAR;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO DEMARCACAO SOLO; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR AMARELO; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 50,00MM X 30,00M; FABRICANTE-REFERENCIA 3M-471";3919.10.20;TOTAL
FITA DEMARCAÇÃO SOLO 471 50MM X 30M AZUL;FITA DEMARCAÇÃO SOLO 471 50MM X 30M AZUL;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO DEMARCACAO SOLO; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR AZUL; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 50,00MM X 30,00M; FABRICANTE-REFERENCIA 3M-471";3919.10.20;TOTAL
FITA DEMARCAÇÃO SOLO 471 50MM X 30M BRAN;FITA DEMARCAÇÃO SOLO 471 50MM X 30M BRAN;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO DEMARCACAO SOLO; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR BRANCO; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 50,00MM X 30,00M; FABRICANTE-REFERENCIA 3M-471";3919.10.20;TOTAL
FITA DEMARCAÇÃO SOLO 471 50MM X 30M VERD;FITA DEMARCAÇÃO SOLO 471 50MM X 30M VERD;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO DEMARCACAO SOLO; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR VERDE; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 50,00MM X 30,00M; FABRICANTE-REFERENCIA 3M-471";3919.10.20;TOTAL
FITA DEMARCAÇÃO SOLO 471 50MM X 30M VERM;FITA DEMARCAÇÃO SOLO 471 50MM X 30M VERM;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO DEMARCACAO SOLO; FACE ADERENCIA UMA FACE; MATERIAL DORSO CLORETO POLIVINILA-PVC; COR VERMELHO; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 50,00MM X 30,00M; FABRICANTE-REFERENCIA 3M-471";3919.10.20;TOTAL
FITA DUPLA FACE FIXA FORTE  19MMX2M;FITA DUPLA FACE FIXA FORTE  19MMX2M;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA DUPLA FACE; COR LINER ; COR TRANSPARENTE; DIMENSAO 19,00MM X 2,00M; FABRICANTE-REFERENCIA 3M-SCOTCH FIXA FORTE";3919.10.90;TOTAL
FITA M921 9MM PRETO/PRATA P/ ROTULADOR;FITA M921 9MM PRETO/PRATA P/ ROTULADOR;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE PRATA; LARGURA 9MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER M921";9612.10.90;TOTAL
FITA MATRICIAL EPSON S015631 EPSON;FITA MATRICIAL EPSON S015631 EPSON;FIMPR;FITA IMPRESSORA;"FITA IMPRESSORA; IMPRESSORA MATRICIAL LX-350; MATERIAL POLIAMIDA; COR PRETO; FABRICANTE EPSON REFERENCIA S015631";9612.10.19;TOTAL
FITA P/ EMBALAGEM 45X45 TRANSP;FITA P/ EMBALAGEM 45X45 TRANSP;FADEI;FITA ADESIVA;"FITA ADESIVA; TIPO AUTOADESIVA; FACE ADERENCIA UMA FACE; MATERIAL DORSO POLIPROPILENO BIORIENTADO; COR TRANSPARENTE; MATERIAL ADESIVO RESINA/BORRACHA; DIMENSAO 45,00MM X 45,00M";3919.10.90;TOTAL
FITA ROTULADOR 12MM TZE-231 PRETO S/BCO;FITA ROTULADOR 12MM TZE-231 PRETO S/BCO;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE BRANCO; LARGURA 12MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER TZE-231";9612.10.90;TOTAL
FITA ROTULADOR 12MM X 4M PT/BR 91331;FITA ROTULADOR 12MM X 4M PT/BR 91331;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE BRANCO; LARGURA 12MM; COMPRIMENTO 4M; FABRICANTE-REFERENCIA DYMO-91331";9612.10.90;TOTAL
FITA TZE241 18MM PRETO/BRANCO P/ ROTULAD;FITA TZE241 18MM PRETO/BRANCO P/ ROTULAD;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE BRANCO; LARGURA 18MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER-TZE-241";9612.10.90;TOTAL
FITA TZE541 18MM PRETO/AZUL P/ ROT.BROTH;FITA TZE541 18MM PRETO/AZUL P/ ROT.BROTH;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE AZUL; LARGURA 18MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER-TZE-541";9612.10.90;TOTAL
FITA TZE641 18MM PRETO/AMARELO P/ ROTUL.;FITA TZE641 18MM PRETO/AMARELO P/ ROTUL.;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE AMARELO; LARGURA 18MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER-TZE-641";9612.10.90;TOTAL
FITA TZE941 18MM PRETO/PRATA P/ ROTULADO;FITA TZE941 18MM PRETO/PRATA P/ ROTULADO;FROTU;FITA ROTULADOR;"FITA ROTULADOR; MATERIAL POLIESTER; COR PRETO SOBRE PRATA; LARGURA 18MM; COMPRIMENTO 8M; FABRICANTE-REFERENCIA BROTHER-TZE-941";9612.10.90;TOTAL
FITILHO P/ PRESENTE ROLO C/50 MTS FITACO;FITILHO P/ PRESENTE ROLO C/50 MTS;FITIL;FITILHO;"FITILHO; MATERIAL; MEDIDA; COR; FORNECIMENTO ROLO 50M";;PARCIAL
FLIP CHART OFFICE COM RODÍZIO COM QUADRO;FLIP CHART OFFICE COM RODÍZIO COM QUADRO;FCHAR;FLIP CHART;"FLIP CHART; TIPO ESTRUTURA; MATERIAL; ALTURA; DIMENSOES QUADRO; ";;INFORMAÇÕES INSUFICIENTES
FOLHA DE EVA LILÁS;FOLHAS DE EVA 60x40 - LILÁS;PAEVA;PAPEL EVA;"PAPEL EVA; COR LILAS; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - AMARELA;FOLHAS DE  EVA 60x40 - AMARELA;PAEVA;PAPEL EVA;"PAPEL EVA; COR AMARELO; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - AZUL;FOLHAS DE  EVA 60x40 - AZUL;PAEVA;PAPEL EVA;"PAPEL EVA; COR AZUL; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - BRANCA;FOLHAS DE  EVA 60x40 - BRANCA;PAEVA;PAPEL EVA;"PAPEL EVA; COR BRANCO; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - LARANJA;FOLHAS DE  EVA 60x40 - LARANJA;PAEVA;PAPEL EVA;"PAPEL EVA; COR LARANJA; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - MARROM;FOLHAS DE  EVA 60x40 - MARROM;PAEVA;PAPEL EVA;"PAPEL EVA; COR MARROM; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - PRETA;FOLHAS DE  EVA 60x40 - PRETA;PAEVA;PAPEL EVA;"PAPEL EVA; COR PRETO; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - ROSA;FOLHAS DE  EVA 60x40 - ROSA;PAEVA;PAPEL EVA;"PAPEL EVA; COR ROSA; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - VERDE;FOLHAS DE  EVA 60x40 - VERDE;PAEVA;PAPEL EVA;"PAPEL EVA; COR VERDE; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE  EVA - VERMELHA;FOLHAS DE  EVA 60x40 - VERMELHA;PAEVA;PAPEL EVA;"PAPEL EVA; COR VERMELHO; DIMENSAO 60 X 40CM; ACABAMENTO LISO";4002.19.11;TOTAL
FOLHAS DE FICHÁRIO - CADERNO COLEGIAL C/;FOLHAS DE FICHARIO COLEGIAL BC;SEM PDM;SEM PDM;;;BACKLOG
FRAGMENTADORA - KS-1285 CC;FRAGMENTADORA - KS-1285 CC;SEM PDM;SEM PDM;;;BACKLOG
FRAGMENTADORA  SECRETA 525 SB 110 VOLTS;FRAGMENTADORA  SECRETA 525 SB 110 VOLTS;SEM PDM;SEM PDM;;;BACKLOG
GIZ DE CERA 12 CORES C/REGULAGEM 742362;GIZ DE CERA 12 CORES C/REGULAGEM 742362;SEM PDM;SEM PDM;;;BACKLOG
GIZ DE CERA 12 CORES GRANDE;GIZ DE CERA 12 CORES GRANDE;SEM PDM;SEM PDM;;;BACKLOG
GRAFITE 0,5;GRAFITE 0,5;GRAFI;GRAFITE LAPISEIRA;"GRAFITE LAPISEIRA; GRADUACAO; DIAMETRO 0,5MM; EMBALAGEM ESTOJO 12 MINAS";9609.20.00;PARCIAL
GRAFITE 0,7;GRAFITE 0,7;GRAFI;GRAFITE LAPISEIRA;"GRAFITE LAPISEIRA; GRADUACAO; DIAMETRO 0,7MM; EMBALAGEM ESTOJO 12 MINAS";;PARCIAL
GRAFITE 0,9;GRAFITE 0,9;GRAFI;GRAFITE LAPISEIRA;"GRAFITE LAPISEIRA; GRADUACAO; DIAMETRO 0,9MM; EMBALAGEM ESTOJO 12 MINAS";;PARCIAL
GRAMPEADOR DE MESA 26/6 20 FOLHAS;GRAMPEADOR DE MESA 26/6 20 FOLHAS;GMANU;GRAMPEADOR MANUAL;"GRAMPEADOR MANUAL; TIPO MESA; MATERIAL CONSTRUTIVO ACO CARBONO; TAMANHO MEDIO; CAPACIDADE FOLHAS 20 FOLHA; GRAMPO 26/6; COR PRETO";8472.90.40;TOTAL
GRAMPEADOR METALICO RAPID 9 P/110FL PRET;GRAMPEADOR METALICO RAPID 9 P/110FL PRET;GMANU;GRAMPEADOR MANUAL;"GRAMPEADOR MANUAL; TIPO MESA; MATERIAL CONSTRUTIVO ACO CARBONO; TAMANHO MEDIO; CAPACIDADE FOLHAS 110 FOLHA; GRAMPO 9/8~9/14; COR PRETO; FABRICANTE-REFERENCIA RAPID-9";8472.90.40;TOTAL
GRAMPO 26/6 COBREADO C/ 5000;GRAMPO 26/6 COBREADO C/ 5000;GGRAM;GRAMPO GRAMPEADOR ESCRITORIO;"GRAMPO GRAMPEADOR ESCRITORIO; MATERIAL ACO CARBONO; ACABAMENTO COBREADO; TAMANHO 26/6; FORMA FORNECIMENTO CAIXA 5000 UNIDADES";8305.20.00;TOTAL
GRAMPO RAPID 9/08 GALVANIZADO C/5000 BAC;GRAMPO RAPID 9/08 GALVANIZADO C/5000 BAC;GGRAM;GRAMPO GRAMPEADOR ESCRITORIO;"GRAMPO GRAMPEADOR ESCRITORIO; MATERIAL ACO CARBONO; ACABAMENTO GALVANIZADO; TAMANHO 9/8; FORMA FORNECIMENTO CAIXA 5000 UNIDADES; FABRICANTE BACHI-RAPID";8305.20.00;TOTAL
GRAMPO TRILHO METAL (ROMEU E JULIETA);GRAMPO TRILHO METAL (ROMEU E JULIETA);GTRIL;GRAMPO TRILHO PASTA;"GRAMPO TRILHO PASTA; TIPO ROMEU E JULIETA; MATERIAL ACO CARBONO; DIMENSAO; FORMA FORNECIMENTO";8305.10.00;PARCIAL
GRAMPO TRILHO PLASTICO (ROMEU E JULIETA);GRAMPO TRILHO PLASTICO (ROMEU E JULIETA);GTRIL;GRAMPO TRILHO PASTA;"GRAMPO TRILHO PASTA; TIPO ROMEU E JULIETA; MATERIAL PLASTICO; DIMENSAO; FORMA FORNECIMENTO";3926.10.00;PARCIAL
IMA  P/QUADRO MAG. REDONDO 15X2MM PT;IMA  P/QUADRO MAG. REDONDO 15X2MM PT;SEM PDM;SEM PDM;;;BACKLOG
IMA  P/QUADRO MAG. REDONDO 15X2MM VD;IMA  P/QUADRO MAG. REDONDO 15X2MM VD;SEM PDM;SEM PDM;;;BACKLOG
IMÃ ADESIVADO A4 (MANTA MAG  210X297X0,3;IMÃ ADESIVADO A4 (MANTA MAG  210X297X0,3;SEM PDM;SEM PDM;;;BACKLOG
INDICE TELEFONICO TILIBRA COLOR 39 FLS;INDICE TELEFONICO TILIBRA COLOR 39 FLS;SEM PDM;SEM PDM;;;BACKLOG
JOGOS DE BARALHO 9 X 6 CM EM PAPEL;JOGOS DE BARALHO 9 X 6 CM EM PAPEL;SEM PDM;SEM PDM;;;BACKLOG
LÁPIS DE COR 12 CORES JUMBO TRI 123012;LÁPIS DE COR 12 CORES JUMBO TRI 123012;LCOR;LAPIS COR;"LAPIS COR; TAMANHO PEQUENO; FORMATO TRIANGULAR; COR COLORIDO; FORMA FORNECIMENTO ESTOJO 12 UNIDADES; FABRICANTE-REFERENCIA FABER CASTEL-12.3012AP";9609.10.00;TOTAL
LÁPIS DE COR 24 CORES SEXTAVADO 902638;LÁPIS DE COR 24 CORES SEXTAVADO 902638;LCOR;LAPIS COR;"LAPIS COR; TAMANHO GRANDE; FORMATO SEXTAVADO; COR COLORIDO; FORMA FORNECIMENTO ESTOJO 24 UNIDADES; FABRICANTE-REFERENCIA BIC-EVOLUTION 902638";9609.10.00;TOTAL
LAPIS DE COR KIDS COLOR C/12 INTEIRO;LAPIS DE COR KIDS COLOR C/12 INTEIRO;LCOR;LAPIS COR;"LAPIS COR; TAMANHO; FORMATO; COR 12 CORES; FORMA FORNECIMENTO ESTOJO 12 UNIDADES";9609.10.00;PARCIAL
LAPIS DERMATOGRAFICO VERMELHO;LAPIS DERMATOGRAFICO VERMELHO;SEM PDM;SEM PDM;;;BACKLOG
LÁPIS PLÁSTICO PRETO EVOLUTION 835232;LÁPIS PLÁSTICO PRETO EVOLUTION 835232;LAPIS;LAPIS GRAFITE;"LAPIS GRAFITE; MATERIAL CORPO PLASTICO; FORMATO HEXAGONAL; REVESTIMENTO VERDE; GRADUACAO HB2; EXTREMIDADE SEM BORRACHA; PONTA APONTADO; ADERENCIA LISA; TAMANHO; FORNECIMENTO CAIXA 12 UNIDADES; FABRICANTE-REFERENCIA BIC-EVOLUTION 835232";9609.10.00;TOTAL
LAPIS PRETO 6B;LAPIS PRETO 6B;LAPIS;LAPIS GRAFITE;"LAPIS GRAFITE; MATERIAL CORPO MADEIRA; FORMATO SEXTAVADO; REVESTIMENTO VERDE; GRADUACAO 6B; EXTREMIDADE SEM BORRACHA; PONTA APONTADO; ADERENCIA LISA";9609.10.00;TOTAL
LAPIS PRETO N 2;LAPIS PRETO N 2;LAPIS;LAPIS GRAFITE;"LAPIS GRAFITE; MATERIAL CORPO MADEIRA; FORMATO REDONDO; REVESTIMENTO PRETO; GRADUACAO NUMERO 2; EXTREMIDADE SEM BORRACHA; PONTA APONTADO; ADERENCIA LISA";9609.10.00;TOTAL
LAPISEIRA  0,5MM  D-207  PENTEL P205;LAPISEIRA  0,5MM  D-207  PENTEL P205;LAPIE;LAPISEIRA;"LAPISEIRA; ACIONAMENTO CLICK SUPERIOR; MATERIAL CORPO PLASTICO; COR CORPO PRETO; TAMANHO GRAFITE 0,5MM;  EXTREMIDADE COM BORRACHA; MATERIAL PONTA METAL; FABRICANTE-REFERENCIA PENTEL-P205";9608.40.00;TOTAL
LAPISEIRA  0,7MM  PENTEL P207 AZUL;LAPISEIRA  0,7MM  PENTEL P207 AZUL;LAPIE;LAPISEIRA;"LAPISEIRA; ACIONAMENTO CLICK SUPERIOR; MATERIAL CORPO PLASTICO; COR CORPO AZUL; TAMANHO GRAFITE 0,7MM;  EXTREMIDADE COM BORRACHA; MATERIAL PONTA METAL; FABRICANTE-REFERENCIA PENTEL-P207";9608.40.00;TOTAL
LAPISEIRA  0,9MM  PENTEL P209 AMARELA;LAPISEIRA  0,9MM  PENTEL P209 AMARELA;LAPIE;LAPISEIRA;"LAPISEIRA; ACIONAMENTO CLICK SUPERIOR; MATERIAL CORPO PLASTICO; COR CORPO AMARELO; TAMANHO GRAFITE 0,9MM;  EXTREMIDADE COM BORRACHA; MATERIAL PONTA METAL; FABRICANTE-REFERENCIA PENTEL-P209";9608.40.00;TOTAL
LIMPADOR TIRA GRUDE 240ML QUIMATIC;LIMPADOR TIRA GRUDE 240ML QUIMATIC;SEM PDM;SEM PDM;;;BACKLOG
LIVRO ATA VERTICAL;LIVRO ATA VERTICAL;LATA;LIVRO ATA;"LIVRO ATA; TIPO CAPA; MATERIAL CAPA; DIMENSOES; QUANTIDADE FOLHA; COR PAPEL; GRAMATURA PAPEL; DESTAQUE FOLHA; COR CAPA; PAUTA; ACABAMENTO PAPEL MIOLO; ";4820.10.00;PARCIAL
LIVRO ATAS OF TRANSVERSAL C/ 100FL;LIVRO ATAS OF TRANSVERSAL C/ 100FL;LATA;LIVRO ATA;"LIVRO ATA; TIPO CAPA; MATERIAL CAPA; DIMENSOES; QUANTIDADE FOLHA 100 FOLHAS; COR PAPEL; GRAMATURA PAPEL; DESTAQUE FOLHA; COR CAPA; PAUTA; ACABAMENTO PAPEL MIOLO; ";4820.10.00;PARCIAL
MALETA DELLOPLAST CRISTAL S/ PASTA SUSP.;MALETA DELLOPLAST CRISTAL S/ PASTA SUSP.;SEM PDM;SEM PDM;;;BACKLOG
MALOTE  MEDINDO  50X35X14CM;MALOTE  MEDINDO  50X35X14CM;SEM PDM;SEM PDM;;;BACKLOG
MALOTE  MEDINDO 60X40X15 CM;MALOTE  MEDINDO 60X40X15 CM;SEM PDM;SEM PDM;;;BACKLOG
"MALOTE TIPO CORREIO MEDIDA "" A3 """;"MALOTE TIPO CORREIO MEDIDA "" A3 """;SEM PDM;SEM PDM;;;BACKLOG
"MALOTE TIPO CORREIO MEDIDA "" A4 """;"MALOTE TIPO CORREIO MEDIDA "" A4 """;SEM PDM;SEM PDM;;;BACKLOG
MARCADOR DE PÁGINA 32X38MM C/6 CORES 93;MARCADOR DE PÁGINA 32X38MM C/6 CORES 93;SEM PDM;SEM PDM;;;BACKLOG
MARCADOR P/QUADRO AZUL;MARCADOR P/QUADRO AZUL;MQBRA;PINCEL MARCADOR QUADRO BRANCO;"PINCEL QUADRO BRANCO; COR AZUL; TIPO ; MATERIAL PONTA ; ESPESSURA ESCRITA ; FABRICANTE-REFERENCIA";9608.20.00;PARCIAL
